,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
0,Whitefield,"6,000 - 25,000",11192.86,"12,000 - 25,000",17375,"30,000 - 49,000",39500,12.9698,77.75
1,Anekal City,6300,6300,10000,10000,-,-,12.7105,77.6911
2,Jigani,"5,800 - 10,500",7466.67,14000,14000,11000,11000,12.7791,77.6436
3,Yelahanka,"6,500 - 18,000",10500,"10,000 - 15,000",11500,18500,18500,13.1186,77.5975
4,Horamavu,"5,000 - 23,000",10415.63,"10,000 - 20,000",15535.71,"15,000 - 42,000",23700,13.0326,77.6583
5,Whitefield Hope Farm Junction,"14,800 - 21,000",15914.29,18000,18000,"55,000 - 2 L",127500,12.9838,77.7525
6,Electronic City Phase 1,"5,000 - 11,000",757.14,5000,5000,"32,000 - 37,000",35000,12.8431,77.6565
7,Chandapura,4500,4500,"8,000 - 12,000",9666.67,7000,7000,12.8005,77.7139
8,Bellandur,13500,13500,"20,000 - 38,000",28884.62,30000,30000,12.9304,77.6784
9,Devanahalli,"13,000 - 40,000",26500,"12,000 - 22,000",16600,"45,000 - 60,000",49000,13.1508,77.7088
10,Electronic City Phase 2,"5,000 - 10,500",8296.88,16750,16750,"15,000 - 28,000",22730.77,12.8441,77.6794
11,KR Puram,"3,000 - 20,000",9728,"10,000 - 22,800",13453.33,14000,14000,13.017,77.7044
12,Harlur,"10,000 - 20,000",14750,18000,18000,33000,33000,12.9017,77.6605
13,Budigere Cross,15000,15000,"18,000 - 23,000",20333.33,"20,000 - 80,000",32571.43,13.0638,77.7456
14,Varthur,"6,000 - 16,000",9690,"9,500 - 18,000",12900,"28,000 - 75,000",48333.33,12.9389,77.7412
15,Jakkur,"8,500 - 9,500",9000,"12,000 - 20,000",16000,"25,000 - 30,000",27500,13.0631,77.6207
16,Talaghattapura,-,-,"12,000 - 21,000",16400,18000,18000,12.8691,77.5342
17,Rajarajeshwari Nagar,"6,000 - 15,000",10050,"15,000 - 22,000",18000,"15,000 - 20,000",17500,12.9149,77.5206
18,Hoskote,"9,000 - 11,000",10000,"13,500 - 16,500",15000,"9,000 - 18,000",15000,13.0693,77.7982
19,Borewell Road,13000,13000,-,-,-,-,0.0,0.0
20,Marathahalli,"5,500 - 15,000",11187.5,"12,000 - 23,000",18666.67,33000,33000,12.9569,77.7011
21,Uttarahalli,-,-,12000,12000,"19,000 - 28,000",23666.67,12.907,77.5521
22,Rajaji Nagar,"9,500 - 14,000",11500,"10,000 - 1.1 L",56717.95,22500,22500,12.9982,77.553
23,Sarjapur Road,10000,10000,9000,9000,90000,90000,0.0,0.0
24,Banaswadi,"5,000 - 18,000",13509.09,"15,000 - 28,000",19500,"24,000 - 35,000",30500,13.0104,77.6482
25,Sarjapur,"10,000 - 13,500",11375,"10,000 - 30,000",15250,"20,000 - 30,000",24000,12.8549,77.7881
26,Thanisandra,"7,500 - 8,500",8000,"14,000 - 25,500",19125,22000,22000,13.0559,77.6325
27,Koramangala,"7,500 - 28,000",14181.82,"15,000 - 50,000",25909.09,"25,000 - 4 L",108000,12.9352,77.6244
28,Bommasandra,"8,500 - 9,000",8750,"6,500 - 12,000",8200,"17,000 - 30,000",21909.09,12.8167,77.6974
29,HSR Layout,"7,000 - 30,000",17583.33,"18,500 - 28,000",24450,50000,50000,12.9121,77.6446
30,Mahadevapura,"5,000 - 17,000",10500,"9,500 - 22,000",16333.33,28000,28000,12.988,77.6895
31,Avalahalli Off Sarjapur Road,-,-,"15,000 - 20,000",16555.56,-,-,0.0,0.0
32,Horamavu Agara,11800,11800,17800,17800,20800,20800,13.0411,77.6622
33,Begur,"5,500 - 12,000",8285.71,"12,000 - 14,000",13250,16000,16000,12.8788,77.6377
34,Chandapura Anekal Road,-,-,9000,9000,-,-,0.0,0.0
35,Hebbal,"6,000 - 16,000",1183.33,"10,000 - 40,000",16875,40000,40000,13.0354,77.5988
36,Yelahanka New Town,"5,000 - 16,000",9700,"10,500 - 20,000",14125,"16,000 - 25,000",20500,13.1042,77.5713
37,Narayanapura on Hennur Main Road,7500,7500,"18,000 - 26,000",23222.22,"23,000 - 33,000",29000,0.0,0.0
38,Dasarahalli on Tumkur Road,-,-,"19,000 - 22,500",20285.71,45000,45000,0.0,0.0
39,Kalyan Nagar,"6,000 - 18,000",14175,"15,000 - 31,000",20250,"25,000 - 35,000",29500,13.024,77.6433
40,Thirumalashettyhally,"7,500 - 18,000",12750,"15,000 - 25,500",20250,25000,25000,12.9862,77.781
41,Bommanahalli,"6,800 - 12,000",9471.43,"12,000 - 18,000",15000,"15,000 - 45,000",30000,12.903,77.6242
42,Banashankari,"4,000 - 22,000",1033.33,"10,000 - 25,000",1527.78,"30,000 - 50,000",37666.67,12.9255,77.5468
43,Sarjapur Road Post Railway Crossing,7500,7500,"19,000 - 33,000",26200,45000,45000,0.0,0.0
44,Kadugodi,12500,12500,"12,000 - 17,000",14500,"15,000 - 25,000",20000,12.9908,77.7608
45,Uttarahalli Main Road,"7,500 - 9,000",8250,"10,000 - 19,000",13833.33,50000,50000,0.0,0.0
46,Bengaluru Kanakapura Road,-,-,"10,000 - 20,000",15000,"22,000 - 60,000",41000,0.0,0.0
47,JP Nagar,"3,600 - 27,000",10183.33,"8,500 - 28,000",19325,"18,000 - 30,000",24000,12.9063,77.5857
48,Sarjapur Road Wipro To Railway Crossing,-,-,"23,000 - 35,000",30000,"65,000 - 75,000",70000,0.0,0.0
49,Ramamurthy Nagar,"6,000 - 20,000",11147.06,"7,500 - 17,000",13619.05,"15,000 - 20,000",16666.67,13.0163,77.6785
