,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude,Venues,Food Services,Shopping Services,Leisure Services,General Services
0,Whitefield,"6,000 - 25,000",11192.86,"12,000 - 25,000",17375,"30,000 - 49,000",39500,12.9698,77.75,"['Eastern European Restaurant', 'Gym / Fitness Center', 'Bakery', 'Brewery', 'Brewery', 'Hotel', 'Café', 'Indian Restaurant', 'Hotel Bar', 'Chinese Restaurant', 'Gym / Fitness Center', 'Diner', 'Café', 'Kerala Restaurant', 'Restaurant', 'Indian Restaurant', 'Grocery Store']",13.0,1.0,3.0,0.0
1,Anekal City,6300,6300,10000,10000,-,-,12.7105,77.6911,['ATM'],0.0,0.0,0.0,1.0
2,Jigani,"5,800 - 10,500",7466.67,14000,14000,11000,11000,12.7791,77.6436,"['Hotel', 'Indian Restaurant']",1.0,0.0,1.0,0.0
3,Yelahanka,"6,500 - 18,000",10500,"10,000 - 15,000",11500,18500,18500,13.1186,77.5975,[],0.0,0.0,0.0,0.0
4,Horamavu,"5,000 - 23,000",10415.63,"10,000 - 20,000",15535.71,"15,000 - 42,000",23700,13.0326,77.6583,"['Athletics & Sports', 'Warehouse Store', 'Chinese Restaurant', 'Indian Restaurant']",2.0,0.0,1.0,1.0
5,Whitefield Hope Farm Junction,"14,800 - 21,000",15914.29,18000,18000,"55,000 - 2 L",127500,12.9838,77.7525,"['Vegetarian / Vegan Restaurant', 'Hotel', 'Ice Cream Shop', 'Chinese Restaurant', 'Indian Restaurant', 'Chaat Place', 'Eastern European Restaurant', 'Hotel']",6.0,0.0,2.0,0.0
6,Electronic City Phase 1,"5,000 - 11,000",7570.14,5000,5000,"32,000 - 37,000",35000,12.8431,77.6565,"['Asian Restaurant', 'Pizza Place', 'Café', 'Department Store', 'Juice Bar', 'Café', 'Asian Restaurant', 'Fast Food Restaurant', 'Coffee Shop', 'Fast Food Restaurant', 'Fast Food Restaurant', 'Breakfast Spot', 'Indian Restaurant', 'Indian Restaurant', 'Hotel', 'Hotel', 'Fast Food Restaurant', 'Food', 'Snack Place', 'Restaurant', 'Market']",17.0,2.0,2.0,0.0
7,Chandapura,4500,4500,"8,000 - 12,000",9666.67,7000,7000,12.8005,77.7139,"['Indian Restaurant', 'Department Store', 'Restaurant']",2.0,1.0,0.0,0.0
8,Bellandur,13500,13500,"20,000 - 38,000",28884.62,30000,30000,12.9304,77.6784,"['Soccer Field', 'Hotel', 'Lounge', 'Fast Food Restaurant', 'Sandwich Place', 'Hotel', 'Pizza Place', 'Café', 'Kerala Restaurant', 'Shopping Mall', 'Gym', 'Multiplex', 'Café', 'Fast Food Restaurant', 'Hotel', 'Bakery', 'Kerala Restaurant', 'Indian Restaurant', 'Hotel Bar', 'Indian Restaurant', 'Café', 'Burger Joint', 'Indian Restaurant', 'Pizza Place', 'Restaurant', 'Tea Room', 'Breakfast Spot', 'Café', 'Food Court', 'Indian Restaurant', 'Indian Restaurant', 'Bus Station', 'Kerala Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Coffee Shop', 'Indian Restaurant']",29.0,1.0,6.0,1.0
9,Devanahalli,"13,000 - 40,000",26500,"12,000 - 22,000",16600,"45,000 - 60,000",49000,13.1508,77.7088,[],0.0,0.0,0.0,0.0
10,Electronic City Phase 2,"5,000 - 10,500",8296.88,16750,16750,"15,000 - 28,000",22730.77,12.8441,77.6794,"['Basketball Court', 'Toll Plaza', 'Café', 'Outlet Store', 'Bus Stop', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant']",3.0,1.0,2.0,1.0
11,KR Puram,"3,000 - 20,000",9728,"10,000 - 22,800",13453.33,14000,14000,13.017,77.7044,"['Indian Restaurant', 'Pizza Place', 'Indian Restaurant', 'Café', 'Bakery', 'Hotel']",5.0,0.0,1.0,0.0
12,Harlur,"10,000 - 20,000",14750,18000,18000,33000,33000,12.9017,77.6605,"['Lake', 'North Indian Restaurant', 'Flea Market', 'Gym / Fitness Center']",1.0,1.0,2.0,0.0
13,Budigere Cross,15000,15000,"18,000 - 23,000",20333.33,"20,000 - 80,000",32571.43,13.0638,77.7456,['Cupcake Shop'],1.0,0.0,0.0,0.0
14,Varthur,"6,000 - 16,000",9690,"9,500 - 18,000",12900,"28,000 - 75,000",48333.33,12.9389,77.7412,"['Indie Movie Theater', 'Indian Restaurant']",1.0,0.0,1.0,0.0
